City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
269,Half Moon Bay,US,37.4636,-122.4286,82.51,65,20,12.66,few clouds
270,Uniara,IN,26.15,75.2167,77.36,89,98,13.98,moderate rain
271,Tiznit,MA,29.5833,-9.5,69.42,51,0,2.71,clear sky
272,Sao Joao Do Piaui,BR,-8.3581,-42.2467,74.12,53,97,10.89,overcast clouds
273,Katsuura,JP,35.1333,140.3,87.82,79,87,8.34,overcast clouds
274,Belmonte,BR,-15.8631,-38.8828,66.7,68,100,15.1,overcast clouds
275,Brunsbuttel,DE,53.9,9.15,59.23,81,4,3.0,clear sky
276,Mitu,CO,1.1983,-70.1733,68.83,83,21,2.42,few clouds
277,Pangnirtung,CA,66.1451,-65.7125,52.39,77,100,1.61,overcast clouds
278,Grand Forks,US,47.9417,-97.4337,78.58,42,1,0.0,smoke
279,Guerrero Negro,MX,27.9769,-114.0611,78.21,66,0,16.78,clear sky
280,Laguna,US,38.421,-121.4238,102.24,28,1,7.0,clear sky
281,Los Llanos De Aridane,ES,28.6585,-17.9182,68.13,67,90,16.11,overcast clouds
282,Faanui,PF,-16.4833,-151.75,78.12,69,23,15.03,few clouds
283,Gualan,GT,15.1333,-89.3667,75.58,97,80,2.62,broken clouds
284,Nago,JP,26.5881,127.9761,86.43,87,43,14.32,scattered clouds
285,Porto Santo,PT,33.072,-16.3415,71.51,78,40,14.97,scattered clouds
286,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,77.04,36,2,4.14,clear sky
287,Calderitas,MX,18.55,-88.25,82.49,80,69,10.33,broken clouds
288,Babushkin,RU,51.7122,105.8647,57.87,98,100,0.92,light rain
289,Pitimbu,BR,-7.4706,-34.8086,72.19,83,26,16.58,scattered clouds
290,Luganville,VU,-15.5333,167.1667,76.28,55,28,9.26,scattered clouds
291,Beloha,MG,-25.1667,45.05,62.96,62,0,7.47,clear sky
292,Zhezkazgan,KZ,47.8043,67.7144,79.32,31,10,6.35,clear sky
293,Umm Kaddadah,SD,13.6017,26.6876,81.23,63,23,16.42,few clouds
294,Poum,NC,-20.2333,164.0167,69.49,55,3,12.15,clear sky
295,Gamba,GA,-2.65,10.0,72.59,86,79,5.48,broken clouds
296,Kitwe,ZM,-12.7961,28.2477,54.95,76,0,4.83,clear sky
297,Skibbereen,IE,51.55,-9.2667,55.2,87,100,6.55,overcast clouds
298,Tilichiki,RU,60.4667,166.1,54.46,61,98,2.13,light rain
299,Hammerfest,NO,70.6634,23.6821,45.05,87,75,2.3,broken clouds
300,Flinders,AU,-34.5833,150.8552,63.21,95,11,1.99,few clouds
301,Bonavista,CA,48.6499,-53.1147,62.11,80,0,19.39,clear sky
302,Srednekolymsk,RU,67.45,153.6833,42.89,57,100,10.29,overcast clouds
303,Malakal,SS,9.5334,31.6605,71.2,95,99,2.98,overcast clouds
304,Tsabong,BW,-26.0217,22.401,51.96,29,0,6.06,clear sky
305,Tuntum,BR,-5.2581,-44.6489,79.63,44,97,4.7,overcast clouds
306,Rengasdengklok,ID,-6.1592,107.2981,80.73,78,56,3.76,broken clouds
307,Ambon,ID,-3.6954,128.1814,82.54,78,40,3.44,scattered clouds
308,Longyearbyen,SJ,78.2186,15.6401,44.44,76,75,13.8,broken clouds
309,Saldanha,ZA,-33.0117,17.9442,55.31,87,40,8.16,scattered clouds
310,Kindu,CD,-2.95,25.95,75.67,43,100,2.64,overcast clouds
311,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,68.59,49,0,11.18,clear sky
312,Pontianak,ID,-0.0333,109.3333,78.78,94,20,3.44,few clouds
313,Pacific Grove,US,36.6177,-121.9166,81.57,69,1,5.01,clear sky
314,Sao Filipe,CV,14.8961,-24.4956,75.63,77,19,0.76,few clouds
315,Perpignan,FR,42.75,2.75,64.72,67,90,4.61,overcast clouds
316,San Juan,AR,-31.5375,-68.5364,55.8,27,0,4.5,clear sky
317,Kurumkan,RU,54.3,110.3,66.25,62,59,2.59,broken clouds
318,La Ronge,CA,55.1001,-105.2842,76.93,37,5,4.47,clear sky
319,Kingman,US,35.1894,-114.053,101.3,24,1,11.5,clear sky
320,Homer,US,59.6425,-151.5483,75.07,77,1,14.97,clear sky
321,Fox Lake,US,42.3967,-88.1837,69.55,74,0,1.01,clear sky
322,Teguise,ES,29.0605,-13.564,66.42,78,20,21.85,few clouds
323,Miles City,US,46.4083,-105.8406,94.51,16,1,11.5,clear sky
324,Sterling,US,39.0062,-77.4286,75.33,89,90,1.01,heavy intensity rain
325,Otofuke,JP,42.9917,143.2003,71.67,95,100,1.86,overcast clouds
326,Clyde River,CA,70.4692,-68.5914,41.23,87,75,19.57,broken clouds
327,Oriximina,BR,-1.7656,-55.8661,76.37,78,93,2.95,overcast clouds
328,Dalen,NL,52.6992,6.7556,57.07,94,5,7.27,clear sky
329,Atbasar,KZ,51.8,68.3333,69.91,65,13,7.63,few clouds
330,Sola,VU,-13.8833,167.55,75.76,60,95,10.92,overcast clouds
331,Mezen,RU,65.8522,44.24,50.63,71,100,5.55,overcast clouds
332,Makakilo City,US,21.3469,-158.0858,86.32,49,20,16.11,few clouds
