City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
485,Vyshneve,UA,75.09,clear sky,50.3891,30.3705,Sofiyivsʹkyy Posad
487,Jiwani,PK,81.61,overcast clouds,25.05,61.7417,Al Mumtaz Transport Jiwani
488,Sokoto,NG,72.91,broken clouds,13.0609,5.239,Shukura Coral Hotel
489,Lianran,CN,69.64,clear sky,24.9227,102.485,半岛酒店
492,Pohrebyshche,UA,67.84,broken clouds,49.4864,29.2636,Hotelʹ
496,Kletnya,RU,66.36,overcast clouds,53.3897,33.2171,Gostinitsa-Otel' Kletnya
497,Mahibadhoo,MV,82.04,light rain,3.7833,72.9667,Omadhoo Inn
499,Kachiry,KZ,70.11,clear sky,53.0675,76.1036,"Ночной клуб BasMax, Гостиница , Ресторан , Магазин-автозап. сто вулканизатор ,"
500,Kijang,KR,84.88,overcast clouds,35.2442,129.2139,Samyang Beach Villa
501,Barcelona,ES,72.97,clear sky,41.3888,2.159,Axel Hotel Barcelona
504,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
505,Mirador,BR,78.49,overcast clouds,-6.3708,-44.3631,Pousada Restaurante e Pizzaria Povo
506,Banda Aceh,ID,80.71,overcast clouds,5.5577,95.3222,Sulthan Hotel International
507,Soe,ID,76.66,broken clouds,-9.8607,124.284,Dena Hotel
508,Kendari,ID,80.46,clear sky,-3.945,122.4989,Hotel Wixel
513,Rio Branco,BR,75.81,clear sky,-9.9747,-67.81,João Paulo Hotel
514,Camacha,PT,68.76,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
515,Natal,BR,75.85,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
516,Lorengau,PG,84.56,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
519,Kuah,MY,83.59,overcast clouds,6.3265,99.8432,Azio Hotel
522,Mareeba,AU,77.49,clear sky,-17.0,145.4333,Trinity Plains Tourist Park
524,Mangalia,RO,79.09,light rain,43.8,28.5833,Hotel Paradiso
525,Ambilobe,MG,68.92,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
526,Yaounde,CM,67.62,overcast clouds,3.8667,11.5167,Hotel Mérina
528,La Peca,PE,65.43,light rain,-5.6111,-78.435,Hospedaje San Miguelito
530,Cairns,AU,82.11,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
533,Benguela,AO,69.62,few clouds,-12.5763,13.4055,Hotel Praia Morena
534,Shubarkuduk,KZ,78.35,clear sky,49.1447,56.4872,Sirius
